Case_ID,Symptom,Topology_Note,Show_Commands_Output,Expected_Fault,OSI_Layer,Concept_Tag,Severity
CASE_001,"PC1 cannot ping PC2 despite being in same subnet","PC1 and PC2 connected to SW1","show vlan brief: Gi0/1 in VLAN 1, Gi0/2 in VLAN 10","Switch port assigned to wrong access VLAN",2,VLAN,Medium
CASE_002,"No connectivity for users in VLAN 30","SW1 connected to SW2 via trunk","show vlan brief: VLAN 30 not found in local VLAN database","VLAN not created in VLAN database",2,VLAN,High
CASE_003,"Intermittent connectivity and CDP errors across trunk link","SW1 connected to SW2","show interfaces trunk: Gi0/1 trunking. SW1 native VLAN 1, SW2 native VLAN 99","Native VLAN mismatch on trunk port",2,VLAN,Medium
CASE_004,"VLAN 20 traffic not crossing switch-to-switch link","SW1 to SW2 trunk link","show interfaces trunk: Port Gi0/1 allowed VLANs 1,10,30","Trunk port not allowing VLAN 20",2,VLAN,High
CASE_005,"PC cannot reach internet or gateway","PC connected to SW1 connected to R1","ipconfig: IP 192.168.1.10, Mask 255.255.255.0, Gateway 0.0.0.0","Default gateway not configured on PC",3,Gateway,High
CASE_006,"PC gets APIPA address (169.254.x.x) instead of DHCP IP","PC connected to SW1","ipconfig: 169.254.10.5","DHCP request failed, PC falling back to APIPA",3,DHCP,High
CASE_007,"PC gets IP but cannot ping any other VLANs","PC connected to L3 Switch SW1","show ip interface brief: Vlan10 192.168.10.1 up. show run: no ip routing","IP routing not enabled on Layer 3 switch",3,Routing,Critical
CASE_008,"Cannot reach remote server at 10.0.0.5","PC - SW1 - R1 - R2 - Server","show ip route on R1: 192.168.1.0/24 directly connected. No route to 10.0.0.0","Missing static or dynamic route to destination network",3,Routing,High
CASE_009,"OSPF neighbors not forming adjacency","R1 and R2 connected via Gi0/0","show ip ospf neighbor: empty. show run: R1 area 0, R2 area 1","OSPF area mismatch between routers",3,Routing,High
CASE_010,"Host on VLAN 10 not getting DHCP IP","PC on SW1 (VLAN 10), DHCP Server on R1","show ip interface gi0/0.10 on R1: no ip helper-address","Missing ip helper-address on router subinterface",3,DHCP,High
CASE_011,"PC cannot resolve URLs to IP addresses","PC connected to network","nslookup google.com: Server UnKnown, timeout","DNS server unreachable or misconfigured on PC",7,DNS,Medium
CASE_012,"DHCP clients getting IP but cannot reach internet","PC getting IP from R1","show run | sec dhcp: network 192.168.1.0, default-router 192.168.2.1","DHCP pool configured with wrong default-router IP",3,DHCP,High
CASE_013,"Users cannot browse internal web server at port 80","PC -> R1 -> Internal Server","show access-lists: 10 deny tcp any any eq www","ACL explicitly blocking HTTP traffic",4,ACL,High
CASE_014,"Ping works to server, but SSH connection fails","PC -> R1 -> Server","show ip interface gi0/1: Inbound access list is ACL_IN. ACL_IN denies tcp eq 22","ACL blocking specific port (SSH)",4,ACL,Medium
CASE_015,"Inside PCs cannot reach the internet","R1 separating Inside (Gi0/0) and Outside (Gi0/1)","show run | sec nat: ip nat inside source list 1 pool MYPool. show ip int gi0/1: no ip nat outside","NAT outside interface not configured",4,NAT,Critical
