Case_ID,AI_Diagnosis,Action,Corrected_Fault,Reason
CASE_005,"{
  ""root_cause"": ""Default gateway not configured on PC"",
  ""confidence"": ""high"",
  ""evidence"": ""ipconfig: IP 192.168.1.10, Mask 255.255.255.0, Gateway 0.0.0.0"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,Correct
CASE_005,"{
  ""root_cause"": ""Default gateway not configured on PC"",
  ""confidence"": ""high"",
  ""evidence"": ""ipconfig: IP 192.168.1.10, Mask 255.255.255.0, Gateway 0.0.0.0"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,Correct
CASE_001,"{
  ""root_cause"": ""Switch port assigned to wrong access VLAN"",
  ""confidence"": ""high"",
  ""evidence"": ""show vlan brief: Gi0/1 in VLAN 1, Gi0/2 in VLAN 10"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_002,"{
  ""root_cause"": ""VLAN not created in VLAN database"",
  ""confidence"": ""high"",
  ""evidence"": ""show vlan brief: VLAN 30 not found in local VLAN database"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_003,"{
  ""root_cause"": ""Native VLAN mismatch on trunk port"",
  ""confidence"": ""high"",
  ""evidence"": ""show interfaces trunk: Gi0/1 trunking. SW1 native VLAN 1, SW2 native VLAN 99"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_004,"{
  ""root_cause"": ""Trunk port not allowing VLAN 20"",
  ""confidence"": ""high"",
  ""evidence"": ""show interfaces trunk: Port Gi0/1 allowed VLANs 1,10,30"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_005,"{
  ""root_cause"": ""Default gateway not configured on PC"",
  ""confidence"": ""high"",
  ""evidence"": ""ipconfig: IP 192.168.1.10, Mask 255.255.255.0, Gateway 0.0.0.0"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_006,"{
  ""root_cause"": ""DHCP request failed, PC falling back to APIPA"",
  ""confidence"": ""high"",
  ""evidence"": ""ipconfig: 169.254.10.5"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Rejected,fault corrected,it was incorrect
CASE_006,"{
  ""root_cause"": ""DHCP request failed, PC falling back to APIPA"",
  ""confidence"": ""high"",
  ""evidence"": ""ipconfig: 169.254.10.5"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_007,"{
  ""root_cause"": ""Missing default gateway on PC"",
  ""confidence"": ""high""
}",Accepted,,
CASE_008,"{
  ""root_cause"": ""Missing static or dynamic route to destination network"",
  ""confidence"": ""high"",
  ""evidence"": ""show ip route on R1: 192.168.1.0/24 directly connected. No route to 10.0.0.0"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_009,"{
  ""root_cause"": ""OSPF area mismatch between routers"",
  ""confidence"": ""high"",
  ""evidence"": ""show ip ospf neighbor: empty. show run: R1 area 0, R2 area 1"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_010,"{
  ""root_cause"": ""Missing ip helper-address on router subinterface"",
  ""confidence"": ""high"",
  ""evidence"": ""show ip interface gi0/0.10 on R1: no ip helper-address"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_011,"{
  ""root_cause"": ""DNS server unreachable or misconfigured on PC"",
  ""confidence"": ""high"",
  ""evidence"": ""nslookup google.com: Server UnKnown, timeout"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_012,"{
  ""root_cause"": ""DHCP pool configured with wrong default-router IP"",
  ""confidence"": ""high"",
  ""evidence"": ""show run | sec dhcp: network 192.168.1.0, default-router 192.168.2.1"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_013,"{
  ""root_cause"": ""ACL explicitly blocking HTTP traffic"",
  ""confidence"": ""high"",
  ""evidence"": ""show access-lists: 10 deny tcp any any eq www"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_014,"{
  ""root_cause"": ""ACL blocking specific port (SSH)"",
  ""confidence"": ""high"",
  ""evidence"": ""show ip interface gi0/1: Inbound access list is ACL_IN. ACL_IN denies tcp eq 22"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_015,"{
  ""root_cause"": ""NAT outside interface not configured"",
  ""confidence"": ""high"",
  ""evidence"": ""show run | sec nat: ip nat inside source list 1 pool MYPool. show ip int gi0/1: no ip nat outside"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_016,"{
  ""root_cause"": ""Guest Wi-Fi password mismatch"",
  ""confidence"": ""medium""
}",Accepted,,
CASE_017,"{
  ""root_cause"": ""WPA2 Pre-shared key mismatch"",
  ""confidence"": ""high"",
  ""evidence"": ""Wireless client logs: Authentication failed. show run on AP: ssid Corp-Net wpa-psk ascii Mypassw0rd"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
